company_name,normalized_company_name,is_relevant,relevance_reason,company_category,official_careers_url,job_board_type,job_board_query_url,greenhouse_slug,lever_slug,ashby_slug,workday_cxs_url,supported_locations,source_confidence,scrape_method,scrape_frequency,last_validated_at,validation_notes,priority_level
1729 Technologies,1729 technologies,needs_review,tech/data provider — include only if it serves trading; needs manual review,tech or data provider,,,,,,,,,,,daily,2026-07-05,,review
Da Vinci Trading,da vinci trading,yes,seed category 'prop trading or market making',prop trading or market making,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Saber Capital,saber,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
323 Trading,323 trading,yes,seed category 'prop trading or market making',prop trading or market making,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Danske Commodities,danske commodities,yes,seed category 'energy or commodities',energy or commodities,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Jump Trading,jump trading,yes,seed category 'prop trading or market making',prop trading or market making,,greenhouse,https://boards-api.greenhouse.io/v1/boards/jumptrading/jobs,jumptrading,,,,,verified,api,daily,2026-07-05,,high
Sanjin Capital Management,sanjin,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
3iQ Digital Assets,3iq digital,yes,seed category 'crypto or digital assets',crypto or digital assets,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
DE Shaw,de shaw,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Kbit Crypto Trading,kbit crypto trading,yes,seed category 'crypto or digital assets',crypto or digital assets,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Santander Bank,santander bank,yes,seed category 'bank or broker dealer',bank or broker dealer,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
3Red Partners,3red,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Deep Blue Capital,deep blue,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,greenhouse,https://boards-api.greenhouse.io/v1/boards/deepblue/jobs,deepblue,,,,,verified,api,daily,2026-07-05,,high
Kepos Capital,kepos,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Sarpen Investments,sarpen,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
4170 Trading,4170 trading,yes,seed category 'prop trading or market making',prop trading or market making,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
Deribit,deribit,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Kershner Trading Group,kershner trading,yes,seed category 'prop trading or market making',prop trading or market making,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,high
SCALP Trade,scalp trade,yes,seed category 'prop trading or market making',prop trading or market making,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,review
A Priori Investments,a priori,yes,seed category 'hedge fund or asset manager',hedge fund or asset manager,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,medium
Delta Exchange,delta exchange,yes,name signals: exchange,needs validation,,,,,,,,,needs_review,,daily,2026-07-05,no public ATS endpoint found; set workday_cxs_url or careers URL manually,review
Kronos,kronos,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
Schonfeld,schonfeld,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
AllState,allstate,needs_review,no category match and no quant-finance name signal — needs manual review,needs validation,,,,,,,,,,,daily,2026-07-05,,review
