company_name,normalized_company_name,source_status,source_notes,source_section,source_row,include_in_research,relevance_review_status,category_guess,priority_level,career_page_url,greenhouse_url,lever_url,workday_url,ashby_url,job_board_type,preferred_locations,role_keywords,exclude_keywords,notes_for_fable
1729 Technologies,1729 technologies,NO POSITIONS,,0-9,6,research first,validate,tech or data provider,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Da Vinci Trading,da vinci trading,,,D,6,yes,validate,prop trading or market making,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Saber Capital,saber capital,,,S,6,yes,validate,hedge fund or asset manager,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
323 Trading,323 trading,NO POSITIONS,,0-9,7,yes,validate,prop trading or market making,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Danske Commodities,danske commodities,,,D,7,yes,validate,energy or commodities,medium,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Jump Trading,jump trading,,,,7,yes,validate,prop trading or market making,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Sanjin Capital Management,sanjin capital management,,,S,7,yes,validate,hedge fund or asset manager,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
3iQ Digital Assets,3iq digital assets,NO POSITIONS,,0-9,8,yes,validate,crypto or digital assets,medium,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
DE Shaw,de shaw,,,D,8,yes,validate,needs validation,review,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Kbit Crypto Trading,kbit crypto trading,,,K,8,yes,validate,crypto or digital assets,high,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
Santander Bank,santander bank,,,S,8,yes,validate,bank or broker dealer,medium,,,,,,,New York;Chicago;London;Amsterdam;Singapore;Hong Kong;Boston;San Francisco;Los Angeles;Remote,quantitative trader;quantitative researcher;quantitative developer;desk quant;risk quant;trading support engineer;algo trader;systematic trading;low latency;C++;Python;market making;statistical arbitrage,sales;marketing;human resources;legal;accounting;customer support;retail banking;branch;wealth advisor;financial advisor,Validate relevance and enrich career source before scraping. Do not assume this firm is valid just because it appears in the seed list.
